#key	style	ss_system_id
3rd Degree (USA)	box-2D	133
7th Guest, The (USA) (Disc 1) (The Game)	box-2D	133
Accelerator (Europe)	box-2D	133
Affaire Morlov, L' (Europe) (En,Fr)	box-2D	133
Alice au Pays des Merveilles (France)	box-2D	133
Alice in Wonderland (USA)	box-2D	133
Alien Gate (USA)	box-2D	133
Ange et le Demon, L' (France)	box-2D	133
Apprentice, The (USA)	box-2D	133
Arcade Classics (Europe)	box-2D	133
Asterix - Caesar's Challenge (Europe)	box-2D	133
Asterix - De Uitdaging van Caesar (Netherlands)	box-2D	133
Asterix - Die grosse Reise (Germany)	box-2D	133
Asterix - El Desafio de Cesar (Spain)	box-2D	133
Asterix - La Sfida di Cesare (Italy)	box-2D	133
Asterix - Le Defi de Cesar (France)	box-2D	133
Asterix - O Desafio de Cesar (Portugal)	box-2D	133
Atlantis - The Last Resort (Europe)	box-2D	133
Axis and Allies (USA)	box-2D	133
Backgammon (USA, Europe)	box-2D	133
Battleship (World)	box-2D	133
Berenstain Bears, The - Bij de Berenstain Beren Thuis - Thuis en bij Jou (Netherlands)	box-2D	133
Berenstain Bears, The - On Their Own (USA)	box-2D	133
Big Bang Show (France) (En,Fr)	box-2D	133
BrainDead 13 (Europe)	box-2D	133
Burn-Cycle (USA, Europe) (Disc 1) (The Game)	box-2D	133
CD Shoot (USA) (En,Ja,Fr,De,Es,It,Nl,Pt)	box-2D	133
Caesars World of Boxing (Europe)	box-2D	133
Caesars World of Gambling (USA, Europe)	box-2D	133
Caraibes Offshore (France)	box-2D	133
Chaos Control (USA)	box-2D	133
Christmas Country (Europe)	box-2D	133
Christmas Crisis (Europe)	box-2D	133
Clue (USA)	box-2D	133
Clue - The Mysteries Continue (USA)	box-2D	133
Cluedo (Europe)	box-2D	133
Cluedo - The Mystery Continues (Europe)	box-2D	133
Comando Tierra (Spain)	box-2D	133
Compton's Interactive Encyclopedia (USA)	box-2D	133
Connect Four (USA, Europe)	box-2D	133
Cosecha del Sol, La - Vincent van Gogh Revivido (Spain)	box-2D	133
Creature Shock (Europe) (Disc 1)	box-2D	133
Crime Patrol (Europe)	box-2D	133
Dark Castle (USA, Europe)	box-2D	133
Defender of the Crown (USA, Europe)	box-2D	133
Dimo's Quest (USA)	box-2D	133
Do You Remember the '60s (UK)	box-2D	133
Domino (Netherlands)	box-2D	133
Dragon's Lair (USA)	box-2D	133
Dragon's Lair II - Time Warp (USA)	box-2D	133
Drug Wars (Europe)	box-2D	133
Earth Command (USA)	box-2D	133
Earth Rhythms (USA)	box-2D	133
Effacer (USA)	box-2D	133
Escape from CyberCity (USA, Europe)	box-2D	133
Exploring Our Solar System (USA)	box-2D	133
Family Games I (Europe)	box-2D	133
Family Games II - Junkfood Jive (Europe)	box-2D	133
Flashback (USA)	box-2D	133
Flintstones-Jetsons Timewarp (USA)	box-2D	133
Geants du Jazz, Les (France)	box-2D	133
Girl's Club (USA, Europe)	box-2D	133
Girls (France) (En,Fr,De,Es,Nl)	box-2D	133
Gnomes (USA)	box-2D	133
Go (Spain)	box-2D	133
Golden Oldies I (Europe)	box-2D	133
Golden Oldies II (Europe)	box-2D	133
Golden Oldies Jukebox (USA)	box-2D	133
Golf Tips (Europe) (En,Ja)	box-2D	133
Great Day at the Races, A (USA)	box-2D	133
Guignols de l'Info, Les ...le Jeu ! (France)	box-2D	133
Harvest of the Sun - Van Gogh - Une Moisson de Soleils (France)	box-2D	133
Harvest of the Sun - Vincent Van Gogh Revisited (USA)	box-2D	133
Hieroglyph (Germany)	box-2D	133
Hotel Mario (USA)	box-2D	133
Inca (USA)	box-2D	133
International Tennis Open (USA) (En,Fr)	box-2D	133
Jazz Giants - From Big Band to Bossa Nova (USA, Europe)	box-2D	133
Jeopardy! (USA)	box-2D	133
Jigsaw - The Ultimate Electronic Puzzle (USA)	box-2D	133
Joker's Wild! Jr., The (USA)	box-2D	133
Joker's Wild!, The (USA)	box-2D	133
Joy of Sex, The (USA)	box-2D	133
Karaoke Voetbal (Netherlands)	box-2D	133
Kether (USA) (En,Fr)	box-2D	133
Kingdom - The Far Reaches (USA)	box-2D	133
Labyrinth of Crete (Europe)	box-2D	133
Labyrinth von Kreta (Germany)	box-2D	133
Laser Lords (USA)	box-2D	133
Last Bounty Hunter, The (Europe)	box-2D	133
Lemmings (USA)	box-2D	133
Lingo (Netherlands)	box-2D	133
Link - De Gezichten van het Kwaad (Netherlands)	box-2D	133
Link - Die Fratzen des Boesen (Germany)	box-2D	133
Link - The Faces of Evil (USA)	box-2D	133
Litil Divil (USA)	box-2D	133
Lords of the Rising Sun (USA)	box-2D	133
Lost Eden (Europe) (En,Fr,De,Es,It)	box-2D	133
Lost Ride, The (Europe)	box-2D	133
Lucky Luke - The Video Game (Europe)	box-2D	133
Mad Dog 2 - Le Tresor Perdu (France)	box-2D	133
Mad Dog II - El Oro Perdido (Spain)	box-2D	133
Mad Dog II - The Lost Gold (Europe)	box-2D	133
Mad Dog McCree (USA, Europe)	box-2D	133
Magic Eraser (Germany)	box-2D	133
Making the Grade (UK)	box-2D	133
Maquina de Cuentos, La - Cuentos Magicos (Spain)	box-2D	133
Marco Polo (Europe) (Disc 1) (The Game)	box-2D	133
Master Labyrinth (Europe) (En,Fr,De,Nl)	box-2D	133
Mega Maze (USA)	box-2D	133
Merlin's Apprentice (USA)	box-2D	133
Micro Machines (Europe)	box-2D	133
Monty Python's Invasion from the Planet Skyron (Europe)	box-2D	133
Monty Python's More Naughty Bits (USA)	box-2D	133
Mutant Rampage - Bodyslam (USA)	box-2D	133
Myst (Europe)	box-2D	133
Mystic Midway - Phantom Express (USA)	box-2D	133
Mystic Midway - Rest in Pieces (USA, Europe)	box-2D	133
NFL Football Trivia Challenge '94-'95 Edition (USA)	box-2D	133
NFL Football Trivia Challenge (USA)	box-2D	133
NFL Hall of Fame Football (USA)	box-2D	133
Name That Tune (USA)	box-2D	133
Noah's Ark (USA)	box-2D	133
Open de Palm Springs, L' (France)	box-2D	133
Origami (Europe) (En,Fr,De,Nl)	box-2D	133
Othello (Europe)	box-2D	133
Ours Berenstain, Les - Comme des Grands (France)	box-2D	133
Pac Panic (Europe) (Beta) (1995-10-17)	box-2D	133
Pac-Panic (Europe)	box-2D	133
Palm Springs Open, The (World)	box-2D	133
Pinball (World)	box-2D	133
Power Hitter (USA)	box-2D	133
Pyramid Adventures - Episode 1 - Treasures of the Lost Pyramid (USA)	box-2D	133
Renaissance Gallery, The (USA)	box-2D	133
Richard Scarry - La Citta piu Indaffarata del Mondo! (Italy)	box-2D	133
Richard Scarry's Allerbeste Buurt Disc! (Netherlands)	box-2D	133
Richard Scarry's Allerwitzigste Geschichten aus Schaffenau (Germany)	box-2D	133
Richard Scarry's Best Neighborhood Disc Ever! (USA)	box-2D	133
Richard Scarry's Best Neighbourhood Disc Ever - Richard Scarry no Saikou ni Tanoshii Nakamatachi (Japan)	box-2D	133
Richard Scarry's Busiest Neighborhood Disc Ever! (World)	box-2D	133
Richard Scarry's Busiest Neighbourhood Disc Ever - Richard Scarry no Isogashii Nakamatachi (Japan)	box-2D	133
Richard Scarry's wunderbarste Geschichten aus Schaffenau (Germany)	box-2D	133
Rise of the Robots (Europe)	box-2D	133
Sargon Chess (USA)	box-2D	133
Schtroumpfs, Les - Le Teleportaschtroumpf (France)	box-2D	133
Scotland Yard Interactif (France)	box-2D	133
Scotland Yard Interactive (Europe)	box-2D	133
Secret Mission (Europe)	box-2D	133
Shadoan (Europe)	box-2D	133
Shaolin's Road (Europe) (En,Fr)	box-2D	133
Solar Crusade (Europe)	box-2D	133
Solar System (Europe)	box-2D	133
Space Ace (USA)	box-2D	133
Sport Freaks (Netherlands)	box-2D	133
Steel Machine (Europe)	box-2D	133
Story Machine - Magic Tales (USA)	box-2D	133
Story Maschine - Maerchenzauber (Germany)	box-2D	133
Striker Pro (USA)	box-2D	133
Strip Poker Live (Europe) (En,It)	box-2D	133
Strip-Poker Pro (France) (En,Fr)	box-2D	133
Super Mario's Wacky Worlds (USA) (Proto) (1993-03-03)	box-2D	133
Surf City (USA)	box-2D	133
TR-I - No World Order (USA)	box-2D	133
Taiyou o Karitoru Hito - Harvest of the Sun - Vincent van Gogh (Japan)	box-2D	133
Tangram (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt)	box-2D	133
Tetris (USA, Europe)	box-2D	133
Tetsuo Gaiden (Europe)	box-2D	133
Text Tiles (USA, Europe)	box-2D	133
Thunder in Paradise (USA) (Disc 1) (The Game)	box-2D	133
Time-Life Astrology (USA)	box-2D	133
Tom - Der Maximagier (Germany) (En,Fr,De)	box-2D	133
Tom - Il Dizionario Magico (Italy) (En,Fr,It)	box-2D	133
Tom - Magic Picture Show (Europe) (En,Fr,Es)	box-2D	133
USA '94 World Cup (Europe)	box-2D	133
Ultimate Noah's Ark, The (USA)	box-2D	133
Ultra CD-i Soccer (Europe)	box-2D	133
Uncover featuring Tatjana (Europe)	box-2D	133
Vegas Girls (Europe)	box-2D	133
Video Speedway - Grand Prix (France)	box-2D	133
Video Speedway - The Ultimate Racing Experience (USA)	box-2D	133
Voetbal (Netherlands)	box-2D	133
Voyeur (USA)	box-2D	133
Voyeur ...Don't Get Caught (Europe)	box-2D	133
Voyeur ...Lass Dich Nicht Erwischen! (Germany)	box-2D	133
Wacky World of Miniature Golf with Eugene Levy, The (USA)	box-2D	133
Whack a Bubble (Europe)	box-2D	133
Who Shot Johnny Rock (USA)	box-2D	133
Wimbledon Challenge (Europe) (En,Ja,Fr,De,Es,It)	box-2D	133
Wordplay (Europe)	box-2D	133
World Cup Golf (Europe) (En,Fr,De)	box-2D	133
Zelda - De Toverstaf van Gamelon (Netherlands)	box-2D	133
Zelda - Der Zauberstab von Gamelon (Germany)	box-2D	133
Zelda - The Wand of Gamelon (USA)	box-2D	133
Zelda's Adventure (Europe)	box-2D	133
Zenith (Europe)	box-2D	133
Zombie Dinos de la Planete Zeltoide (France)	box-2D	133
Zombie Dinos from Planet Zeltoid (USA)	box-2D	133
Zombie Dinos van de Planeet Zeltoid (Netherlands)	box-2D	133
Zombie Dinos vom Planeten Zeltoid (Germany)	box-2D	133
